TeamID,Key,School,Name,Conference
305,SOUTH,Southern,Jaguars,Southwestern Athletic
306,JACKST,Jackson State,Tigers,Southwestern Athletic
307,ALCST,Alcorn State,Braves,Southwestern Athletic
308,MSVLST,Mississippi Valley State,Delta Devils,Southwestern Athletic
309,ALAAM,Alabama A&M,Bulldogs,Southwestern Athletic
310,ARPB,Arkansas-Pine Bluff,Golden Lions,Southwestern Athletic
311,ALAST,Alabama State,Hornets,Southwestern Athletic
312,GRMBST,Grambling State,Tigers,Southwestern Athletic
313,PVAM,Prairie View A&M,Panthers,Southwestern Athletic
314,SDKST,South Dakota State,Jackrabbits,Summit
315,IPFW,Purdue Fort Wayne,Mastodons,Horizon League
316,NEOM,Omaha,Mavericks,Summit
317,IUPUI,IU Indy,Jaguars,Horizon League
318,NDKST,North Dakota State,Bison,Summit
319,DEN,Denver,Pioneers,Summit
320,ORAL,Oral Roberts,Golden Eagles,Summit
321,SDAK,South Dakota,Coyotes,Summit
322,WILL,Western Illinois,Leathernecks,Ohio Valley
323,ARLR,Little Rock,Trojans,Ohio Valley
324,LOULAF,Louisiana-Lafayette,Ragin' Cajuns,Sun Belt
325,TXA,UT Arlington,Mavericks,Western Athletic
326,LAMON,Louisiana-Monroe,Warhawks,Sun Belt
327,ARKST,Arkansas State,Red Wolves,Sun Belt
328,GAST,Georgia State,Panthers,Sun Belt
329,GAS,Georgia Southern,Eagles,Sun Belt
330,SALA,South Alabama,Jaguars,Sun Belt
331,APPLST,Appalachian State,Mountaineers,Sun Belt
332,TXST,Texas State,Bobcats,Sun Belt
333,TROY,Troy,Trojans,Sun Belt
334,GNZG,Gonzaga,Bulldogs,West Coast
335,STMRY,Saint Mary's,Gaels,West Coast
336,BYU,BYU,Cougars,Big 12
337,PEPP,Pepperdine,Waves,West Coast
338,SF,San Francisco,Dons,West Coast
339,PACFC,Pacific,Tigers,West Coast
340,PORT,Portland,Pilots,West Coast
341,SANCLR,Santa Clara,Broncos,West Coast
342,SD,San Diego,Toreros,West Coast
343,LOYMRY,Loyola Marymount,Lions,West Coast
344,NMXST,New Mexico State,Aggies,Conference USA
345,GCAN,Grand Canyon,Antelopes,Mountain West
346,CSU,Bakersfield,Roadrunners,Big West
347,SEA,Seattle,Redhawks,West Coast
348,UTAHV,Utah Valley,Wolverines,Western Athletic
350,UTRGV,Texas-Rio Grande Valley,Vaqueros,Southland
351,CHIST,Chicago State,Cougars,Northeast
352,EMPST,Emporia St.,Hornets,
353,CHAM,Chaminade,Silverswords,
354,HDSM,Hardin-Simmons,Cowboys,
355,FRMN,Francis Marion,Patriots,
356,BOWST,Bowie St.,Bulldogs,
357,YORK,York College,Spartans,
361,ALLEN,Allen,Yellow Jackets,
362,UMKC,Kansas City,Roos,Summit
391,NMH,New Mexico Highlands,Cowboys,
392,TXAMC,East Texas A&M,Lions,Southland
393,NWOST,Northwestern Oklahoma State,Rangers,
394,CABAP,California Baptist,Lancers,Western Athletic
396,NAL,North Alabama,Lions,Atlantic Sun
397,GBP,Greensboro,Pride,
398,CWW,Cental Washington,Wildcats,
399,CALVW,Calvary,Warriors,
400,CCT,Champion Christian College,Tigers,
