TeamID,Key,School
1057,TAL,Talladega
1058,TUSC,Tusculum
1059,KEENE,Keene State
1060,FTLAUD,Fort Lauderdale
1061,TRINE,Trine
1062,MRCY,Mercyhurst
1063,STAMB,St. Ambrose
1064,ACU,Arizona Christian
1065,WSHB,Washburn
1066,NEWM,Newman
1067,ACB,Adrian College
1068,CALVIN,Calvin
1069,USMMA,US Merchant Marine Academy
1070,SALEM,Salem
1071,GREENP,Greenville
1073,FDF,Fairleigh Dickinson Florham
1074,CATA,Catawba
1075,SX,Saint Xavier
1076,POINT,Point
1077,LASU,La Sierra
1078,SPC,Spurgeon College
1079,CSM,Colorado School of Mines
1080,FHSU,Fort Hays State
1081,CSUP,Colorado State-Pueblo
1082,YCC,Yellowstone Christian College
1083,DSR,Dalton State
1084,COR,Cornerstone
1085,CCMC,Columbia College
1087,WVT,West Virginia Tech
1088,CSVILLE,Campbellsville-Harrodsburg
1090,LEEU,Lee
1091,STMS,St Martins
1092,WHW,Whitworth
1093,WING,Wingate
1094,BERRY,Berry College
1095,YHAR,Young Harris College
1096,SWAD,Southwestern Adventist
1097,GRGF,George Fox
1098,SVK,Southern Virginia
1099,SCR,Shepherd College
1100,NESTST,Northeastern State
1101,WTAM,West Texas A&M
1102,NMSU,Northwest Missouri State University
1103,CONCMN,Concordia-Moorhead
1104,MANHV,Manhattanville
1105,HAST,Hastings College
1106,HOPE,Hope
1108,WHEEL,Wheeling
1109,SAGV,Saginaw Valley
1110,BUFST,Buffalo State
1111,NYAC,Nyack College
1112,STMN,St. Thomas (MN)
1113,FRED,Fredonia State
1114,CMS,Claremont-Mudd-Scripps
1115,IAW,Iowa Wesleyan
1116,VAS,Vassar
1117,MAFARM,Maine-Farmington
1118,BARC,Barclay College
1119,CEMET,Central Methodist
1120,BAB,Babson
1121,DILD,Dillard
1122,NENGD,New England
1123,AINTL,American International
1124,NEUM,Neumann
1125,GUIL,Guilford
1126,HANO,Hanover
1127,DEPAUW,DePauw
1128,WISSUP,Wisconsin-Superior
1129,ROOS,Roosevelt
1130,MORAV,Moravian
1131,MINDU,Minnesota Duluth
1132,MTOLI,Mount Olive
1133,EMBRID,Embry Riddle
1134,UTENNS,UT Southern
